,0,1,2
0,11238.327723194416,11238.327723194416,11238.327723194416
1,11234.692472555806,11146.903254062563,11066.393125034707
2,11061.854047645407,10984.531817934676,10915.791929881108
3,10910.337481786746,10845.311421710665,10780.571687293059
4,10776.850177079876,10729.320141023745,10671.239287527102
5,10668.981154172252,10625.197553751117,10575.166908196445
6,10574.017155443527,10533.85605117794,10484.723084027717
7,10478.168413969823,10446.371136210288,10412.354581325231
8,10409.63369949995,10380.090200013743,10337.450255797368
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
