,0
0,-5.411891046803512e-09
1,-4.829825115456867e-08
2,4.5545632310047515e-08
3,3.855246639715314e-08
4,3.0008667676647794e-08
5,3.4035319157152186e-08
6,-5.297223140905358e-09
7,1.46558556082324e-08
8,-5.411891046803512e-09
9,-4.829825115456867e-08
10,4.5545632310047515e-08
11,3.855246639715314e-08
12,3.0008667676647794e-08
13,3.4035319157152186e-08
14,-5.297223140905358e-09
15,1.46558556082324e-08
16,-5.411891046803512e-09
17,-4.829825115456867e-08
18,4.5545632310047515e-08
19,3.855246639715314e-08
20,3.0008667676647794e-08
21,3.4035319157152186e-08
22,-5.297223140905358e-09
23,1.46558556082324e-08
24,-5.411891046803512e-09
25,-4.829825115456867e-08
26,4.5545632310047515e-08
27,3.855246639715314e-08
28,3.0008667676647794e-08
29,3.4035319157152186e-08
30,-5.297223140905358e-09
31,1.46558556082324e-08
32,-5.411891046803512e-09
33,-4.829825115456867e-08
34,4.5545632310047515e-08
35,3.855246639715314e-08
36,3.0008667676647794e-08
37,3.4035319157152186e-08
38,-5.297223140905358e-09
39,1.46558556082324e-08
40,-5.411891046803512e-09
41,-4.829825115456867e-08
42,4.5545632310047515e-08
43,3.855246639715314e-08
44,3.0008667676647794e-08
45,3.4035319157152186e-08
46,-5.297223140905358e-09
47,1.46558556082324e-08
48,-5.411891046803512e-09
49,-4.829825115456867e-08
50,4.5545632310047515e-08
51,3.855246639715314e-08
52,3.0008667676647794e-08
53,3.4035319157152186e-08
54,-5.297223140905358e-09
55,1.46558556082324e-08
56,-5.411891046803512e-09
57,-4.829825115456867e-08
58,4.5545632310047515e-08
59,3.855246639715314e-08
60,3.0008667676647794e-08
61,3.4035319157152186e-08
62,-5.297223140905358e-09
63,1.46558556082324e-08
64,-5.411891046803512e-09
65,-4.829825115456867e-08
66,4.5545632310047515e-08
67,3.855246639715314e-08
68,3.0008667676647794e-08
69,3.4035319157152186e-08
70,-5.297223140905358e-09
71,1.46558556082324e-08
72,-5.411891046803512e-09
73,-4.829825115456867e-08
74,4.5545632310047515e-08
75,3.855246639715314e-08
76,3.0008667676647794e-08
77,3.4035319157152186e-08
78,-5.297223140905358e-09
79,1.46558556082324e-08
80,-5.411891046803512e-09
81,-4.829825115456867e-08
82,4.5545632310047515e-08
83,3.855246639715314e-08
84,3.0008667676647794e-08
85,3.4035319157152186e-08
86,-5.297223140905358e-09
87,1.46558556082324e-08
88,-5.411891046803512e-09
89,-4.829825115456867e-08
90,4.5545632310047515e-08
91,3.855246639715314e-08
92,3.0008667676647794e-08
93,3.4035319157152186e-08
94,-5.297223140905358e-09
95,1.46558556082324e-08
96,-5.411891046803512e-09
97,-4.829825115456867e-08
98,4.5545632310047515e-08
99,3.855246639715314e-08
100,3.0008667676647794e-08
101,3.4035319157152186e-08
102,-5.297223140905358e-09
103,1.46558556082324e-08
104,-5.411891046803512e-09
105,-4.829825115456867e-08
106,4.5545632310047515e-08
107,3.855246639715314e-08
108,3.0008667676647794e-08
109,3.4035319157152186e-08
110,-5.297223140905358e-09
111,1.46558556082324e-08
112,-5.411891046803512e-09
113,-4.829825115456867e-08
114,4.5545632310047515e-08
115,3.855246639715314e-08
116,3.0008667676647794e-08
117,3.4035319157152186e-08
118,-5.297223140905358e-09
119,1.46558556082324e-08
120,-5.411891046803512e-09
121,-4.829825115456867e-08
122,4.5545632310047515e-08
123,3.855246639715314e-08
124,3.0008667676647794e-08
125,3.4035319157152186e-08
126,-5.297223140905358e-09
127,1.46558556082324e-08
128,-5.411891046803512e-09
129,-4.829825115456867e-08
130,4.5545632310047515e-08
131,3.855246639715314e-08
132,3.0008667676647794e-08
133,3.4035319157152186e-08
134,-5.297223140905358e-09
135,1.46558556082324e-08
136,-5.411891046803512e-09
137,-4.829825115456867e-08
138,4.5545632310047515e-08
139,3.855246639715314e-08
140,3.0008667676647794e-08
141,3.4035319157152186e-08
142,-5.297223140905358e-09
143,1.46558556082324e-08
144,-5.411891046803512e-09
145,-4.829825115456867e-08
146,4.5545632310047515e-08
147,3.855246639715314e-08
148,3.0008667676647794e-08
149,3.4035319157152186e-08
150,-5.297223140905358e-09
151,1.46558556082324e-08
152,-5.411891046803512e-09
153,-4.829825115456867e-08
154,4.5545632310047515e-08
155,3.855246639715314e-08
156,3.0008667676647794e-08
157,3.4035319157152186e-08
158,-5.297223140905358e-09
159,1.46558556082324e-08
160,-5.411891046803512e-09
161,-4.829825115456867e-08
162,4.5545632310047515e-08
163,3.855246639715314e-08
164,3.0008667676647794e-08
165,3.4035319157152186e-08
166,-5.297223140905358e-09
167,1.46558556082324e-08
168,-5.411891046803512e-09
169,-4.829825115456867e-08
170,4.5545632310047515e-08
171,3.855246639715314e-08
172,3.0008667676647794e-08
173,3.4035319157152186e-08
174,-5.297223140905358e-09
175,1.46558556082324e-08
176,-5.411891046803512e-09
177,-4.829825115456867e-08
178,4.5545632310047515e-08
179,3.855246639715314e-08
180,3.0008667676647794e-08
181,3.4035319157152186e-08
182,-5.297223140905358e-09
183,1.46558556082324e-08
184,-5.411891046803512e-09
185,-4.829825115456867e-08
186,4.5545632310047515e-08
187,3.855246639715314e-08
188,3.0008667676647794e-08
189,3.4035319157152186e-08
190,-5.297223140905358e-09
191,1.46558556082324e-08
192,-5.411891046803512e-09
193,-4.829825115456867e-08
194,4.5545632310047515e-08
195,3.855246639715314e-08
196,3.0008667676647794e-08
197,3.4035319157152186e-08
198,-5.297223140905358e-09
199,1.46558556082324e-08
200,-5.411891046803512e-09
201,-4.829825115456867e-08
202,4.5545632310047515e-08
203,3.855246639715314e-08
204,3.0008667676647794e-08
205,3.4035319157152186e-08
206,-5.297223140905358e-09
207,1.46558556082324e-08
208,-5.411891046803512e-09
209,-4.829825115456867e-08
210,4.5545632310047515e-08
211,3.855246639715314e-08
212,3.0008667676647794e-08
213,3.4035319157152186e-08
214,-5.297223140905358e-09
215,1.46558556082324e-08
216,-5.411891046803512e-09
217,-4.829825115456867e-08
218,4.5545632310047515e-08
219,3.855246639715314e-08
220,3.0008667676647794e-08
221,3.4035319157152186e-08
222,-5.297223140905358e-09
223,1.46558556082324e-08
224,-5.411891046803512e-09
225,-4.829825115456867e-08
226,4.5545632310047515e-08
227,3.855246639715314e-08
228,3.0008667676647794e-08
229,3.4035319157152186e-08
230,-5.297223140905358e-09
231,1.46558556082324e-08
232,-5.411891046803512e-09
233,-4.829825115456867e-08
234,4.5545632310047515e-08
235,3.855246639715314e-08
236,3.0008667676647794e-08
237,3.4035319157152186e-08
238,-5.297223140905358e-09
239,1.46558556082324e-08
240,-5.411891046803512e-09
241,-4.829825115456867e-08
242,4.5545632310047515e-08
243,3.855246639715314e-08
244,3.0008667676647794e-08
245,3.4035319157152186e-08
246,-5.297223140905358e-09
247,1.46558556082324e-08
248,-5.411891046803512e-09
249,-4.829825115456867e-08
250,4.5545632310047515e-08
251,3.855246639715314e-08
252,3.0008667676647794e-08
253,3.4035319157152186e-08
254,-5.297223140905358e-09
255,1.46558556082324e-08
256,-5.411891046803512e-09
257,-4.829825115456867e-08
258,4.5545632310047515e-08
259,3.855246639715314e-08
260,3.0008667676647794e-08
261,3.4035319157152186e-08
262,-5.297223140905358e-09
263,1.46558556082324e-08
264,-5.411891046803512e-09
265,-4.829825115456867e-08
266,4.5545632310047515e-08
267,3.855246639715314e-08
268,3.0008667676647794e-08
269,3.4035319157152186e-08
270,-5.297223140905358e-09
271,1.46558556082324e-08
272,-5.411891046803512e-09
273,-4.829825115456867e-08
274,4.5545632310047515e-08
275,3.855246639715314e-08
276,3.0008667676647794e-08
277,3.4035319157152186e-08
278,-5.297223140905358e-09
279,1.46558556082324e-08
280,-5.411891046803512e-09
281,-4.829825115456867e-08
282,4.5545632310047515e-08
283,3.855246639715314e-08
284,3.0008667676647794e-08
285,3.4035319157152186e-08
286,-5.297223140905358e-09
287,1.46558556082324e-08
288,-5.411891046803512e-09
289,-4.829825115456867e-08
290,4.5545632310047515e-08
291,3.855246639715314e-08
292,3.0008667676647794e-08
293,3.4035319157152186e-08
294,-5.297223140905358e-09
295,1.46558556082324e-08
296,-5.411891046803512e-09
297,-4.829825115456867e-08
298,4.5545632310047515e-08
299,3.855246639715314e-08
300,3.0008667676647794e-08
301,3.4035319157152186e-08
302,-5.297223140905358e-09
303,1.46558556082324e-08
304,-5.411891046803512e-09
305,-4.829825115456867e-08
306,4.5545632310047515e-08
307,3.855246639715314e-08
308,3.0008667676647794e-08
309,3.4035319157152186e-08
310,-5.297223140905358e-09
311,1.46558556082324e-08
312,-5.411891046803512e-09
313,-4.829825115456867e-08
314,4.5545632310047515e-08
315,3.855246639715314e-08
316,3.0008667676647794e-08
317,3.4035319157152186e-08
318,-5.297223140905358e-09
319,1.46558556082324e-08
