,x_0,x_1,x_2
beta_0,0.09766598349027648,0.9023340165097234,0.0
beta_1,0.0013987935741448427,0.9961050299662917,0.0024961764595634772
beta_2,0.0,0.004338574176151863,0.9956614258238482
