,0,1,2,3,4,5,6,7
0,18081.71782970147,18081.71782970147,18081.71782970147,18081.71782970147,18081.71782970147,18081.71782970147,18081.71782970147,18081.71782970147
1,18027.63316883616,18011.238665004115,17992.065431736613,17957.174034968164,17916.326126010677,17908.81408477766,17906.726060268644,17886.403118977974
2,17833.929823689028,17817.903065849096,17799.187585714033,17765.52563396033,17726.034514293962,17718.77166300795,17716.78117615371,17697.30962333378
3,17646.388839968517,17630.72020192499,17611.677783595784,17574.89316326872,17536.707091247223,17529.6860623638,17527.855698339434,17509.184581785707
4,17459.77637377575,17444.453985029897,17425.900858169654,17390.396422912156,17353.9555651806,17347.16825120993,17345.344276735734,17327.441148824415
5,17279.4840959712,17264.494689232935,17247.0711024166,17216.819054898002,17181.106149606778,17174.543278125268,17172.78138901256,17155.61753773035
6,17109.0686503709,17094.907780981826,17077.15805619357,17043.985627755043,17009.42457238987,17003.38926426594,17001.686695390934,16985.227192965507
7,16940.035340894072,16926.169903916656,16908.871199189845,16876.85384290696,16843.896523780466,16838.056033993602,16836.410388615608,16820.62768691216
8,16776.740969362592,16763.178201591054,16746.123692507288,16715.22751381321,16688.068045160464,16683.62888071451,16682.0379571811,16666.898820923023
9,16624.263734411703,16610.524413368876,16593.90558347138,16564.0106192088,16532.682539997255,16528.374658130353,16526.769777782167,16511.95384263521
10,16470.545225995673,16457.540410610905,16440.207221253237,16411.353864057954,16385.955314617288,16381.773564512734,16380.220202309247,16366.01195314985
11,16325.782912900118,16313.05566370374,16295.554372338127,16267.661142475748,16238.625787167755,16234.565924490285,16233.095093004806,16219.470981183851
12,16180.38686897228,16167.933003556995,16150.493261286916,16126.77412938376,16098.304927500734,16093.724973360588,16092.266642188115,16079.208383377409
13,16041.24123499619,16029.054070578222,16011.885621452402,15989.194102064936,15966.109323740417,15960.989054688624,15959.60437750177,15947.607238661412
14,15910.70148496336,15898.753986892796,15881.987308322097,15856.139657101186,15829.364904962546,15824.380932237844,15823.039517281311,15811.020470433896
15,15775.151566748693,15763.458095804172,15747.845108451555,15722.899097692798,15697.337364228035,15692.484390709102,15691.15319789364,15680.094113261552
16,15645.225445043416,15633.395444011268,15617.363149707293,15593.267041881232,15572.401272575138,15567.6721778901,15566.408886973526,15555.351112406144
17,15521.464396757801,15510.261935029237,15494.613672618869,15471.289377099249,15446.987835835665,15442.382673810253,15441.15846108622,15430.988259907772
18,15398.043828460914,15387.068425711852,15371.900522536656,15349.396042164919,15326.226579796017,15321.741974860819,15320.527872634488,15309.450459951891
19,15277.44064296778,15266.591634256587,15250.846969148693,15229.31557231583,15210.436573377912,15206.063592314244,15204.900237932961,15194.714952495598
20,15163.595575543437,15152.460141460317,15137.018045417837,15115.986822695068,15093.921554464261,15089.661721471868,15088.534897760359,15078.754847961998
21,15048.51722493716,15036.76892822253,15022.511517919724,15002.201120497979,14984.538473764263,14980.418477705858,14979.30264189193,14969.527057231666
22,14940.139850504838,14929.03419163225,14914.343335206255,14897.600535120086,14876.599680483845,14872.552292877543,14871.46468527486,14862.487528281195
23,14833.895648836544,14823.03024466258,14808.68433617742,14789.589026040663,14769.758040498515,14764.926264442489,14763.866088739782,14754.873531055628
24,14727.078903648497,14717.12592647287,14702.786759223753,14683.749689331144,14664.586631446724,14660.726507558848,14659.57608123996,14651.32221731243
