,n_estimators,beta0
VehPower,100,0.06277206445262683
VehAge,100,0.37272863649759946
DrivAge,100,0.7449940508954627
BonusMalus,100,5.629566388120448
Density,94,168.337776541301
Diesel,79,0.036803049003158034
