,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_0,0.9731025429311012,0.002529535701351055,0.0010815667931137558,0.0,0.0,0.0,0.0006769542175565745,0.022609400356877224
beta_1,0.0037277271725002074,0.9769500755567323,0.0,0.0,0.0006873132241335657,0.0,0.004784475176042749,0.013850408870591236
beta_2,0.0,0.0012940494556317067,0.9965622125169615,0.0011143107631555302,0.0,0.0,0.0,0.0010294272642513258
beta_3,0.0,0.0,0.0,0.12812469895484563,0.8718753010451544,0.0,0.0,0.0
beta_4,0.0,0.0,0.0,0.8973538126414278,0.10264618735857226,0.0,0.0,0.0
beta_5,0.0036538767326586897,0.0,0.0,0.0,0.8108407619275402,0.1855053613398011,0.0,0.0
beta_6,0.0,0.5783720164161796,0.0,0.0,0.0,0.0,0.42162798358382036,0.0
beta_7,0.20113306820329388,0.0023898522067121743,0.0060871331852966415,0.05940097356906986,0.16830154199144787,0.0,0.0,0.5626874308441796
