,0,1,2
0,12484.300810216946,12484.300810216946,12484.300810216946
1,12477.517487051573,12339.696541179688,12165.588559804644
2,12160.227880153298,12029.71437767837,11886.943915418236
3,11879.653274205528,11768.792081795867,11638.11842365328
4,11635.535208874018,11546.713912908719,11434.186572917672
5,11430.451654957906,11353.9616123224,11246.204468283982
6,11242.371417783474,11171.726944701019,11076.634033416693
7,11070.125644823496,11014.526999295602,10940.016279408617
8,10937.272708050223,10890.792175453955,10822.458720891356
9,10819.984698512215,10780.87635534443,10723.615825011115
10,10717.041859838711,10680.176496233553,10617.26276781613
11,10607.94344369392,10580.380973396517,10530.936693398085
12,10520.134339920092,10494.102919248715,10460.212234351038
13,10451.959628216246,10430.76632493579,10389.392145546897
14,10384.258507133814,10367.415979639316,10333.511165202
15,10326.298610409218,10311.525454972814,10282.047719066955
16,10272.216993938313,10261.24293534201,10237.20117336545
17,10231.457459513755,10219.574002562003,10209.345613496836
18,10200.202538229136,10188.869843163837,10169.63035977926
19,10162.810858358356,10154.824077766321,10138.225325651234
20,10135.86052893416,10127.135289148766,10116.834301478892
21,10113.746318499925,10107.863550249564,10092.812239268223
22,10089.5112671413,10082.986142790824,10076.933008737007
23,10071.879281927933,10066.702164580434,10058.087149755207
24,10051.41569486272,10046.95063952953,10042.580740615864
25,10040.277774548083,10035.26333521141,10026.405828657098
26,10019.239546281358,10014.969448641594,10011.387241405975
27,10008.160693649956,10004.484933412372,9995.977472328721
28,9991.937017233744,9988.318176952147,9985.71172033146
29,9982.059682371619,9979.330505005852,9974.083883978663
30,9970.276145127265,9965.328948066839,9960.90867832926
31,9956.647149042723,9952.706482946547,9950.711765215954
32,9949.047393297413,9946.173211243802,9939.6597233817
33,9935.76508659621,9932.460198062607,9930.870833115787
34,9925.148688644918,9922.851136265617,9919.45655930955
35,9917.708656163391,9914.374326557725,9913.040356858874
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
