,x_0,x_1,x_2
beta_0,0.10084957117730782,0.8991504288226921,0.0
beta_1,0.0019386575910662722,0.9460133698504405,0.05204797255849317
beta_2,0.0,0.004887441815234223,0.9951125581847658
