,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_0,0.2845820105586285,0.0,0.7154179894413716,0.0,0.0,0.0,0.0,0.0
beta_1,0.0015555279011818673,0.9925526461876911,0.0011424706095319772,0.0021483508901912374,0.0,0.001291412378704348,0.0011862192137282671,0.0001233728189711631
beta_2,0.0005103935793833264,4.64374490187001e-05,0.9714304032909136,0.009548101051859671,0.0,0.0,0.014729111399321357,0.0037355532295031977
beta_3,0.0,0.0,0.0,0.11983755927899359,0.8801624407210065,0.0,0.0,0.0
beta_4,0.0,0.00025349416697568414,0.0,0.9248011360435153,0.07494536978950891,0.0,0.0,0.0
beta_5,0.0005559341336952232,0.0028078946122143,0.0,0.0,0.6840265969833959,0.31211913105818917,0.0,0.0004904432125054153
beta_7,0.0,0.6393545107370059,8.340318818913522e-05,0.0,0.0,0.0008314630368191183,0.0,0.3597306230379858
