,0,1,2
0,12484.300810216946,12484.300810216946,12484.300810216946
1,12477.51748712469,12339.69654097212,12165.588559125492
2,12160.22787937667,12029.714377078875,11886.943914827629
3,11879.653273663604,11768.792080582596,11638.118422739197
4,11635.535207893576,11546.71391173079,11434.186572203911
5,11430.451654227298,11353.961611360948,11246.204467406253
6,11242.371417040222,11171.726944280796,11076.634032829428
7,11070.12564412954,11014.526998982788,10940.01627750482
8,10937.272705968931,10890.79217361016,10822.45871788331
9,10819.984695528554,10780.876352502171,10723.615821756774
10,10717.041856648462,10680.176493441577,10617.262766471364
11,10607.94344225492,10580.380971737952,10530.93669284775
12,10520.134339358709,10494.10291816276,10460.212233322944
13,10451.959626790747,10430.766323638385,10389.392145903214
14,10384.258507376511,10367.415979536245,10333.511165272088
15,10326.29861065253,10311.525455539431,10282.0477191105
16,10272.216994325387,10261.242935985001,10237.2011739554
17,10231.457460073487,10219.574003458853,10209.345614380536
18,10200.20253894212,10188.869843820576,10169.630360611853
19,10162.810859192683,10154.824078531125,10138.225325479818
20,10135.860528586569,10127.135288986025,10116.834301187198
21,10113.746318339669,10107.863549876463,10092.812239083805
22,10089.511266991572,10082.986142325004,10076.93300793556
23,10071.879281108946,10066.70216362516,10058.087148704586
24,10051.4156941184,10046.950638588442,10042.580739499937
25,10040.27777338012,10035.263333932086,10026.405827392739
26,10019.239544987851,10014.969447468524,10011.387240273252
27,10008.160692616626,10004.484932374791,9995.977471390965
28,9991.937016357602,9988.318176072884,9985.711719463976
29,9982.059681795952,9979.33050451299,9974.083883556468
30,9970.27614471964,9965.328947595208,9960.90867774337
31,9956.64714864649,9952.706482558664,9950.71176468897
32,9949.047392758643,9946.173210713041,9939.65972306796
33,9935.76508631049,9932.460197834012,9930.870832891163
34,9925.148688269055,9922.851135856461,9919.456558999367
35,9917.70865586466,9914.374326270425,9913.040356691023
36,9909.751055130931,9905.282514042605,9900.2922213284
37,9896.764862906546,9890.772629377858,9887.076905585953
38,9884.149983284073,9878.911072661342,9875.417614303691
39,9872.071756041043,9868.671696253663,9867.51737675507
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
