,x_0,x_1,x_2
beta_0,0.10084957114428113,0.8991504288557188,0.0
beta_1,0.001938657590898779,0.9460133698561053,0.052047972552995925
beta_2,0.0,0.0048874418163392195,0.9951125581836608
