,Training MSE,Test MSE
true,0.9746171995732281,0.9857577833521152
intercept,1.7833882156885037,1.8178621679697236
glm,1.8647034650694443,1.902186351236878
local_glm_boost,1.0260059531113719,1.0622161052575412
