,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_0,0.9977947139507257,0.0002473558880639025,0.0,0.0002264539077716226,0.0003775199204765874,0.001353956332962134,0.0,0.0
beta_1,0.004082857442209962,0.9821874121248814,0.0008263190782769635,0.006579775026962294,0.0001605806697777331,0.006163055657891751,0.0,0.0
beta_2,0.0010058690632606382,0.0,0.9951788719126909,0.0,0.0,0.0026152648267135647,0.0011999941973348284,0.0
beta_3,0.0,0.06065775809163591,0.0,0.05390284640699102,0.8854393955013731,0.0,0.0,0.0
beta_4,0.0,0.0,0.0,0.9180404233802344,0.0790125669778741,0.00294700964189162,0.0,0.0
beta_7,0.0,0.9347309668253989,0.0,0.0,0.0008099575454758396,0.0,4.842407403687373e-05,0.06441065155508842
