,0
0,1.7810960241923396e-08
1,-3.719939741542331e-08
2,3.1938553449790655e-09
3,-9.170984154479266e-09
4,1.583489760042435e-08
5,-1.891829145002739e-08
6,-1.5507119463767575e-08
7,1.004737475406221e-08
