,0,1,2,3,4,5,6,7
0,1834.0483087107245,1834.0483087107245,1834.0483087107245,1834.0483087107245,1834.0483087107245,1834.0483087107245,1834.0483087107245,1834.0483087107245
1,1789.671789406681,1756.4571624569303,1731.5264853042465,1695.5024675616287,1662.1615165196981,1652.1196707780064,1643.4607559680815,1624.5822473787257
2,1592.128040870603,1566.7923640177244,1547.5659023439025,1521.3595068864033,1497.4252162475257,1490.0128105123608,1481.7812238635402,1467.6840151634742
3,1443.4195570928264,1423.8882260116334,1407.142996691697,1388.261882647893,1369.7696976496154,1362.2891014526385,1354.1527456598528,1344.5446255154884
4,1326.4810973888898,1311.413013983366,1297.9134425657385,1281.204776162894,1267.1214436031357,1260.7970995599521,1256.4985356453544,1249.3165877655163
5,1235.3973245303728,1223.8055231913045,1210.254647322334,1199.4867617466286,1187.6677308228614,1182.4432903991883,1175.0064324014106,1169.1368223602508
6,1158.7030149020616,1148.5702340776857,1138.3741855871422,1130.757732397481,1120.8955456418755,1115.6799088070843,1111.857207946087,1106.4354966565331
7,1098.3947083753358,1090.695684444311,1077.270912145906,1070.003963963,1060.334234060401,1052.588814229282,1047.282866011805,1043.4415255134115
8,1037.565078955497,1031.4718317923662,1023.4355352116679,1017.6584431957538,1010.5158480222259,1006.6287835618745,1002.8217367333594,997.7735094655498
9,993.3210825720475,987.781491026737,981.3463943712161,976.9550641658518,969.1335492818432,963.1376623013609,960.401983392368,957.6179273023849
10,952.3651156669516,947.285055147252,940.1822148484109,934.8985748405196,929.9397395577083,924.4975286557525,921.8589695132835,919.5085165443795
11,916.0849081394881,912.2248342941725,906.8925052925769,901.5676065754028,895.3635664748437,890.4840890242521,886.741017315788,885.0626848208792
12,880.7908346266795,877.7210580785968,873.8012855674701,869.0332528015791,864.5405682181399,860.0395148812438,858.1804900435728,852.5331682965431
13,849.3683015595676,847.0792018759072,843.2681196951755,839.7663168601725,835.6718239430563,831.4164890265481,829.1992532276199,826.6433420439741
14,824.230044239215,822.1748036125655,817.4705691308664,813.8654480649998,809.6107408510334,806.6339175689577,804.9189046859008,803.7285458695335
15,799.8857395671128,798.0943176889441,795.054604578605,792.5083449287794,790.6536712059738,787.9364607548321,785.3718133715057,782.5184450783173
16,778.4252114861644,775.2812035168415,772.6773518420241,769.0443334039608,765.9239618797346,761.6038295193731,759.631108942026,758.4046448032644
17,755.7878551394999,754.1985924970704,751.5919047411764,746.9006722226231,745.0828085374394,741.0343273132827,738.2537116780916,736.0020300519175
18,731.0606100316468,728.5364954338407,726.4971925680597,723.4324419723187,721.2416485216511,719.014723278562,717.5328060675228,715.0159912491074
19,709.9534311501734,707.5414382481802,704.8211921676066,702.516675097776,699.6748793958235,697.2483381224214,695.4689624308156,693.3052812278498
20,690.2066049269401,687.8681010145685,685.0100914398405,681.7547761289857,678.4979275687713,675.5630231948915,673.5249606920829,672.0907946585453
