,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_0,0.9731025428883652,0.002529535702718157,0.0010815667924959477,0.0,0.0,0.0,0.0006769542177817498,0.02260940039863897
beta_1,0.0037277271752295016,0.9769500755280345,0.0,0.0,0.0006873132234638013,0.0,0.004784475185122527,0.013850408888149578
beta_2,0.0,0.00129404945580665,0.9965622125153224,0.0011143107634057532,0.0,0.0,0.0,0.0010294272654651573
beta_3,0.0,0.0,0.0,0.12812469894367653,0.8718753010563234,0.0,0.0,0.0
beta_4,0.0,0.0,0.0,0.8973538126883394,0.10264618731166066,0.0,0.0,0.0
beta_5,0.003653876727763494,0.0,0.0,0.0,0.8108407618239503,0.1855053614482862,0.0,0.0
beta_6,0.0,0.5783720166171219,0.0,0.0,0.0,0.0,0.42162798338287816,0.0
beta_7,0.20113306816740315,0.0023898522138266647,0.0060871331868780345,0.05940097350602834,0.168301541973118,0.0,0.0,0.5626874309527459
