,VehPower,VehAge,DrivAge,BonusMalus,Density,Diesel
VehPower,5.241667231049216e-05,0.0,0.0,1.243766576093827e-06,0.0,0.2371033774381332
VehAge,0.09877539566870205,0.6191271318281178,0.28342697199229233,6.388137933540529e-07,0.0,0.06775433046542047
DrivAge,0.18069537437418684,0.042136005998578654,0.28996269744307546,0.43445340270884986,0.0,0.1721739622069627
BonusMalus,0.07060083673865435,0.33873686217330345,0.2864700066493779,0.5655430165563838,0.00441362715766925,0.10205413327458171
Density,0.6498759765461462,0.0,0.14014032391525438,1.6981543968650322e-06,0.9955863728423308,0.3551154954006856
Diesel,0.0,0.0,0.0,0.0,0.0,0.06579870121421616
