,VehPower,VehAge,DrivAge,BonusMalus,Density,Diesel
0,181178.84290019987,181178.84290019987,181178.84290019987,181178.84290019987,181178.84290019987,181178.84290019987
1,181177.75302518148,181177.09168114452,181176.36539508402,181175.81731756777,181175.52383759725,181175.06140513936
2,181173.97602888,181173.268023243,181172.54478719167,181171.9986100261,181171.7067065719,181171.24759085776
3,181170.17449893625,181169.4747434993,181168.7544503621,181168.21022184083,181167.9195317391,181167.4638170946
4,181166.39511315417,181165.70345387535,181164.9860899858,181164.44380057935,181164.15414971372,181163.70642381796
5,181162.64209968544,181161.93272007885,181161.2182774298,181160.677760471,181160.38901583792,181159.94474053202
6,181158.88477598195,181158.18383939887,181157.47230500105,181156.9335548375,181156.64583182754,181156.20473097454
7,181155.1491077491,181154.45645521488,181153.7478155033,181153.21082685364,181152.9245010112,181152.48660782087
8,181151.40714323247,181150.7623081334,181150.05655109396,181149.52133028462,181149.23577745515,181148.86912382286
9,181147.7940194668,181147.14140200487,181146.43562578215,181145.90215834702,181145.61823193973,181145.18558529654
10,181144.11482893332,181143.4695510261,181142.76664270085,181142.23493254604,181141.95122925466,181141.58860331948
11,181140.52217714587,181139.88410388198,181139.1840461848,181138.6540789982,181138.37124411415,181138.01060908087
12,181136.94849334355,181136.30506837557,181135.60784479676,181135.07961563222,181134.79833390636,181134.36381044466
13,181133.30517623574,181132.66905341018,181131.97463959453,181131.4483055126,181131.16736967445,181130.80063988245
14,181129.7470834002,181129.10869670197,181128.41709333262,181127.89249076755,181127.61256801977,181127.24783127022
15,181126.19773618685,181125.5666608648,181124.87784794247,181124.35497145425,181124.07625469196,181123.7135072133
16,181122.66766057757,181122.04375473887,181121.35771909746,181120.8365638572,181120.5587419257,181120.19797319395
17,181119.15714088306,181118.53772270208,181117.85445876862,181117.33501982386,181117.0578544393,181116.69904709925
18,181115.66163308904,181115.04918905467,181114.36867709528,181113.85094887408,181113.57423742063,181113.21738856004
19,181112.18417159456,181111.52256860127,181110.8447993968,181110.32877717505,181110.0535528474,181109.69865053057
20,181108.6595267171,181108.0052904426,181107.330254917,181106.81592658896,181106.54154859914,181106.13149696466
21,181105.09572815814,181104.44871241043,181103.77639506772,181103.26375975914,181102.9904981919,181102.63939789194
22,181101.60778350232,181100.94610434977,181100.27648991052,181099.7655383707,181099.49372659996,181099.08065222882
23,181098.05392226664,181097.37075776234,181096.7038394504,181096.1947186265,181095.92353069945,181095.57621417395
24,181094.55283330084,181093.88049486757,181093.21625975906,181092.70881284098,181092.4387238483,181092.03839445277
25,181091.01982178466,181090.3552259638,181089.6936711092,181089.18788775994,181088.91841675297,181088.5748462989
26,181087.5595892217,181086.90259180154,181086.24369578372,181085.7395762481,181085.47116700833,181085.1294756956
27,181084.11829346378,181083.46874687966,181082.8124974186,181082.31003703485,181082.04271752335,181081.70289515695
28,181080.6965260112,181080.0542855417,181079.40067694665,181078.8998707687,181078.6335977275,181078.2956276987
29,181077.2925326036,181076.65745771516,181076.00647105416,181075.50731413235,181075.24196048832,181074.90583948104
30,181073.90676837452,181073.27872200444,181072.6303452982,181072.13283249852,181071.86859257723,181071.53431054673
31,181070.53999244748,181069.90648433508,181069.26071335928,181068.7648403526,181068.46068081955,181068.07400981805
32,181067.08285243638,181066.45295658533,181065.80975573233,181065.31560706193,181065.05330281594,181064.6459112824
33,181063.65949481385,181063.0031179876,181062.36655029794,181061.87406684743,181061.61249595892,181061.21653563195
34,181060.23338998813,181059.58403394945,181058.95000697902,181058.45933149467,181058.1988166672,181057.80901625002
35,181056.8298682103,181056.187388803,181055.5558985036,181055.06688685121,181054.8070872899,181054.47550039995
36,181053.50110109532,181052.86540965657,181052.23644807894,181051.7490919255,181051.4903973714,181051.16726795697
37,181050.1960929383,181049.54859151418,181048.92213407328,181048.4364746704,181048.17906913557,181047.85772576218
38,181046.89051719318,181046.18173658923,181045.55777206962,181045.07383116992,181044.81670723108,181044.37445088325
39,181043.41194909508,181042.68688570862,181042.06541975128,181041.5831800904,181041.31980510775,181041.0020101075
40,181040.04278615475,181039.31838295422,181038.69939272822,181038.21886040948,181037.9566259305,181037.62367815763
41,181036.66846341256,181035.92548830237,181035.30896632836,181034.8301236852,181034.56888550214,181034.19501660325
42,181033.2444257192,181032.51654768822,181031.902487065,181031.42545480124,181031.16103329443,181030.83160182444
43,181029.88419056233,181029.16425353067,181028.55263866595,181028.07728402596,181027.81785692988,181027.42222777847
44,181026.47871637339,181025.73529537336,181025.126118859,181024.65243073646,181024.3903940599,181024.00878016654
45,181023.06982787116,181022.30527883593,181021.6985313144,181021.22653950923,181020.96521231817,181020.58808725272
46,181019.65229019345,181018.96881514718,181018.3644838399,181017.87412435567,181017.61709267274,181017.29465992475
47,181016.36346501988,181015.62913444045,181015.02721396898,181014.55854727371,181014.2991683209,181013.97848965053
48,181013.05046957958,181012.3185875012,181011.71906052405,181011.23214955966,181010.97736006381,181010.59156799095
49,181009.66747757926,181008.94434038227,181008.3471997202,181007.88185737364,181007.62419102745,181007.30701198633
50,181006.3874912408,181005.66441595988,181005.06965269806,181004.60597273777,181004.34925875204,181003.99198353937
51,181003.07557104074,181002.35959733697,181001.76719334995,181001.28550045623,181001.03328947804,181000.71949346893
52,180999.80695255593,180999.0979900023,180998.50793500734,180998.0476723107,180997.79272258328,180997.40853070916
53,180996.49965619328,180995.79095947032,180995.20317719592,180994.72482176957,180994.47091737908,180994.01981149983
54,180993.1146665559,180992.41510165267,180991.8295860777,180991.3725975206,180991.1227738857,180990.79410976768
55,180989.89266024472,180989.20290062987,180988.61963533083,180988.14465244612,180987.89205139756,180987.56494287704
56,180986.66721365714,180986.00510121175,180985.4240717998,180984.97038370944,180984.71870132044,180984.39314638352
57,180983.49911447748,180982.83149083695,180982.2526877062,180981.78113969762,180981.53405943056,180981.223057039
58,180980.3334165591,180979.67153171398,180979.09495014168,180978.64457746054,180978.39471380203,180978.02047841105
59,180977.13378936256,180976.42787745572,180975.85349826232,180975.3854215475,180975.13647855012,180974.77639568484
60,180973.89339252794,180973.18932526134,180972.61713638084,180972.15079644456,180971.89279159345,180971.5862237317
61,180970.70695363128,180970.04478788076,180969.47476475502,180969.02418917746,180968.76325271337,180968.45815500745
62,180967.58256906108,180966.92540337477,180966.35753666423,180965.90870373088,180965.64893737988,180965.34530194165
63,180964.47338372486,180963.8144627421,180963.24874297646,180962.80164628613,180962.54627468224,180962.18036243774
64,180961.31210327602,180960.6421944016,180960.07861661323,180959.63324390803,180959.37501509624,180959.0228775589
65,180958.15820007946,180957.48661218406,180956.9251668291,180956.4814641947,180956.22388038097,180955.92457075627
66,180955.0635166003,180954.39960878633,180953.84028478235,180953.39829886897,180953.14546212746,180952.84758661906
67,180951.96603124938,180951.26127686782,180950.70406125512,180950.26376971003,180950.0082057281,180949.7117792086
68,180948.833849689,180948.09036609496,180947.53524378836,180947.11550210393,180946.86142905924,180946.50376739178
69,180945.62946236008,180944.89313539048,180944.34010100493,180943.90316169313,180943.64956134895,180943.305127698
70,180942.43440939707,180941.74525917694,180941.19430337782,180940.7580964182,180940.50225392036,180940.21013175297
71,180939.34304210034,180938.63827048152,180938.08938458824,180937.65486497126,180937.4030971754,180937.1124007513
72,180936.24892300137,180935.5238678981,180934.97704973695,180934.54417393732,180934.29338641488,180934.00409087125
73,180933.1442165374,180932.42508759335,180931.88032765788,180931.449089824,180931.19571529073,180930.8460686432
74,180929.98978958884,180929.2795349817,180928.73682803483,180928.30721713344,180928.05802657502,180927.72111516155
75,180926.86835682,180926.20785318752,180925.66718942084,180925.23915349087,180924.99004167865,180924.6849942189
76,180923.8358078107,180923.1798189155,180922.64119100818,180922.2147766081,180921.9638181455,180921.66020678397
77,180920.8145770379,180920.1630337452,180919.62643188977,180919.20163327485,180918.95482560943,180918.65264351355
78,180917.81055514753,180917.16338891877,180916.62880454457,180916.20561552385,180915.95927546296,180915.65851611094
79,180914.8199535189,180914.17710958424,180913.64191657642,180913.23851476976,180912.9898716033,180912.62389787566
80,180911.78877552538,180911.2197648205,180910.6891775891,180910.269069777,180910.02477421402,180909.72665276175
81,180908.89502635767,180908.32861026237,180907.79735489568,180907.3788393375,180907.13480652054,180906.83810394173
82,180906.00993911084,180905.46439011354,180904.8648688039,180904.44800318385,180904.20201415443,180903.9308909676
83,180903.1059878773,180902.5622181656,180901.96708313155,180901.55186877013,180901.31019306477,180901.0160803128
84,180900.1945163828,180899.65254888783,180899.05975450558,180898.6461783409,180898.40193772878,180898.08087309933
85,180897.2625095484,180896.7223144796,180896.1307958218,180895.71881026152,180895.48127815526,180895.21352714108
86,180894.39840451276,180893.85999764962,180893.26772157627,180892.85736796053,180892.61493224837,180892.3109825997
87,180891.49913939866,180890.9624893807,180890.37468460697,180889.96594235353,180889.72373114346,180889.4823494552
88,180888.67376426476,180888.13889816217,180887.5533190267,180887.12480391137,180886.8897650101,180886.58154511926
89,180885.77614569885,180885.24302716984,180884.6562141259,180884.22933824724,180883.98901023192,180883.67675382874
90,180882.87446866662,180882.34305952507,180881.76057474356,180881.33529996846,180881.09578105694,180880.83058511652
91,180880.03146892542,180879.50182468747,180878.92156218758,180878.49792979562,180878.26528755174,180877.96738501964
92,180877.17149420557,180876.64360687986,180876.06467114086,180875.6426591117,180875.40457750324,180875.14438077743
