,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_1,0.0,0.9783175663105013,0.000496900933971615,1.228248749837065e-08,0.0,0.0,3.935776235222968e-08,0.021185481115277228
beta_2,3.121433967206017e-06,0.0,0.9998224088680007,3.58802961041282e-07,6.603070522201975e-06,5.536285473654372e-08,9.679741550109986e-08,0.00016735566427868634
beta_3,0.0,0.0088114994646513,0.0006724591473402528,0.2559679256054957,0.7345481157825127,0.0,0.0,0.0
beta_4,0.0,0.023134455125457854,0.0,0.5379580487072188,0.43549697743923904,0.003410506123371183,0.0,1.260471322615828e-08
beta_5,0.0,0.042686894385768705,0.00655526204276662,5.656788939465144e-09,0.6504452739493546,0.3003125638213797,0.0,1.439415005813975e-10
beta_7,0.0,0.3262911445948964,0.05139223348652624,9.424905275978242e-08,1.4990951525053574e-09,4.923203490243206e-08,9.390670217264401e-08,0.6223163830316923
