,0,1,2,3,4,5,6,7
0,1386923.0016151853,1386923.0016151853,1386923.0016151853,1386923.0016151853,1386923.0016151853,1386923.0016151853,1386923.0016151853,1386923.0016151853
1,1386921.169734609,1386781.2129143989,1386639.1926685586,1386342.9984750787,1386044.932983568,1386007.1623718936,1386006.5408449445,1385912.7901584269
2,1385910.9644182671,1385771.4731394849,1385629.74263365,1385334.51799325,1385037.4246082744,1384999.7282445722,1384999.1085059582,1384905.7307190278
3,1384903.91109792,1384764.8837447073,1384623.442401806,1384329.1805337481,1384033.0609184504,1383995.4447823027,1383994.8268316644,1383901.8205243705
4,1383900.0070006824,1383761.4419789235,1383620.149821428,1383326.8464057269,1383031.6950011305,1382994.1467167148,1382993.53055201,1382900.894363745
5,1382899.0869164928,1382760.2512812046,1382619.247471542,1382326.9133727094,1382032.7633502006,1381995.294990839,1381994.6805969381,1381902.4128472812
6,1381900.6114781175,1381762.236299962,1381621.4487442127,1381330.053968272,1381036.880903832,1380999.4852775133,1380998.8726571056,1380906.9720924613
7,1380905.1767467954,1380767.260611008,1380626.621689664,1380336.1834514362,1380043.9282794085,1380006.6196096109,1380006.0087528361,1379914.4738031544
8,1379912.6844889584,1379775.2256338506,1379634.8736477615,1379345.3719483165,1379054.0802182485,1379016.8285689245,1379016.2194799073,1378925.048794666
9,1378923.2696431207,1378786.0929337237,1378646.0272686165,1378357.4757042641,1378067.133649434,1378029.9638268435,1378029.3564864327,1377938.5490276755
10,1377936.7758184935,1377799.565601801,1377659.9937756157,1377372.3715278027,1377082.9675405766,1377045.87313336,1377045.267848885,1376954.82173878
11,1376953.0544232898,1376816.1253757582,1376676.4839974365,1376389.7887404195,1376101.3289405257,1376064.2878302673,1376063.6842832013,1375973.5985007004
12,1375971.8370818251,1375835.4984281028,1375695.6206218977,1375409.8745427986,1375122.2053404625,1375085.2852562761,1375084.6834427922,1374994.95594609
13,1374993.2003896686,1374857.1744839193,1374717.581628033,1374432.7655277504,1374146.1796711495,1374109.2796533545,1374108.6811035094,1374019.31105813
14,1374017.5613531426,1373881.9404201207,1373742.6322640532,1373458.721949535,1373172.8435722373,1373136.0640983544,1373135.4672505718,1373046.4528736793
15,1373044.7089967479,1372908.609072767,1372770.0011333125,1372487.0358779174,1372202.2664441662,1372165.5068504745,1372164.9116860353,1372076.251202251
16,1372074.5088237496,1371938.8325323805,1371800.6764531583,1371518.607764521,1371234.6299183525,1371197.9905023489,1371197.3970344567,1371109.0891003134
17,1371107.352419559,1370972.1119378132,1370833.6506893814,1370552.5276380447,1370269.6203976832,1370233.0490966772,1370232.457302284,1370144.5005951086
18,1370142.769589626,1370008.0077429437,1369869.8286822701,1369589.584214554,1369307.4153375446,1369270.914171,1369270.3240605493,1369182.7097390823
19,1369180.9884054924,1369046.6352492329,1368908.8724115118,1368629.5635003406,1368348.5062494439,1368312.0289701824,1368311.4405234125,1368224.1820267583
20,1368222.42841755,1368087.849349882,1367950.2324901891,1367671.8044584598,1367391.397829328,1367355.0350685862,1367354.4482989335,1367267.5294102957
21,1367265.781530685,1367131.7017322665,1366995.2235301698,1366717.7280136042,1366438.3076919757,1366402.0176081636,1366401.4338809536,1366314.8678299075
22,1366313.1590241878,1366181.043141293,1366043.8633488338,1365767.2243269368,1365488.6723417419,1365452.4408753344,1365451.8587726206,1365365.6271825172
23,1365363.8935098043,1365230.634599498,1365093.8543869695,1364818.15035244,1364540.4854928132,1364504.3326446894,1364503.7857881535,1364417.9041058498
24,1364416.255593953,1364283.388171899,1364146.7664454994,1363871.9081372172,1363595.1502363803,1363559.0556401133,1363558.487013577,1363472.939956852
25,1363471.2359957465,1363340.379144621,1363204.0741947093,1362930.1451742481,1362654.130464273,1362618.11424844,1362617.570242557,1362532.367508121
26,1362530.6326050577,1362398.6621652069,1362262.381904609,1361989.2934680108,1361714.2557802927,1361678.261434234,1361677.6840729532,1361592.8104734987
27,1361591.081194215,1361461.0864733662,1361325.8711247426,1361053.709633361,1360779.4340249198,1360743.536742807,1360742.9955901373,1360658.4638428479
28,1360656.787478414,1360525.6750815823,1360389.9262952183,1360118.593843919,1359845.295499302,1359809.4699051646,1359808.8969755957,1359724.6860983719
29,1359722.9750329284,1359592.2571220214,1359456.8047577913,1359186.3900403813,1358913.8867140228,1358878.1522073983,1358877.6139250156,1358793.753232907
30,1358792.0833229357,1358664.532320166,1358529.2127739177,1358259.6269641034,1357988.0480892835,1357952.3564802294,1357951.819658287,1357868.2723176999
31,1357866.5718528125,1357736.7773563808,1357601.4763394604,1357332.7958118434,1357062.0105876836,1357026.409858918,1357025.8414312396,1356942.6333310413
32,1356940.9382603976,1356813.735451735,1356679.0940874368,1356411.2479831644,1356141.2375075174,1356105.6792461274,1356105.1452623105,1356022.255889817
33,1356020.5729319365,1355891.1047268184,1355756.8884839092,1355489.928916423,1355220.9852911797,1355185.474529065,1355184.9091225597,1355102.3644819316
34,1355100.802050615,1354974.4312279993,1354840.1663863712,1354574.0443515305,1354305.6862815793,1354270.2635877316,1354269.7324297768,1354187.4958278283
35,1354185.8161858523,1354057.1818481311,1353923.1144446165,1353657.867069119,1353390.6201150385,1353355.2834386793,1353354.7310300295,1353272.828372119
36,1353271.1814146766,1353144.1245440238,1353010.4415810832,1352746.0163941844,1352479.382883052,1352444.1091786628,1352443.5807787697,1352362.0027318646
37,1352360.3647695193,1352235.2399898039,1352102.0369946673,1351838.4933463566,1351572.8164821519,1351537.593214625,1351537.0337426658,1351455.773697155
38,1351454.1367088114,1351326.7549085459,1351193.6765226815,1350930.9504475258,1350665.9527335104,1350630.7910040645,1350630.2676377434,1350549.3262878635
39,1350547.6946785892,1350423.3446265883,1350290.6449113067,1350028.776058969,1349764.7459929592,1349729.6548182822,1349729.1328571471,1349648.512737355
40,1349646.8863696107,1349520.3143812825,1349387.5023749666,1349126.4814488098,1348863.1855051843,1348828.1657349016,1348827.6106205324,1348747.3122468744
41,1348745.6907364498,1348622.268051398,1348489.853945831,1348229.6435985044,1347967.2042363835,1347932.20500167,1347931.685753149,1347851.7008886558
42,1347850.2647935254,1347724.575455447,1347592.0208163806,1347332.6780831493,1347071.0151325704,1347036.1254832891,1347035.5753753607,1346956.3660347932
43,1346954.8245363664,1346830.6986077065,1346698.382660889,1346439.829833047,1346179.024706503,1346144.18477604,1346143.6659059834,1346064.5853127
