,VehPower,VehAge,DrivAge,BonusMalus,Density,Diesel
0,871.36504513772,871.36504513772,871.36504513772,871.36504513772,871.36504513772,871.36504513772
1,871.3246187111497,871.2813909134002,871.238941005797,871.2152203115425,871.2049877563327,871.1599617834215
2,871.1198958208579,871.0773099252635,871.0352145278148,871.0115682227012,871.0013594065075,870.9566926135784
3,870.9169828148099,870.8750208945129,870.8332747406746,870.8097022905984,870.799512713236,870.7552093996339
4,870.7158515276856,870.6744963139905,870.6330942172624,870.6095951012878,870.5994323479998,870.5554881091309
5,870.5164779886945,870.4757128405814,870.4346497411797,870.4112234598006,870.4010805161423,870.3574785515754
6,870.31881207439,870.2786209512747,870.2378919036692,870.2145379617937,870.2044245128475,870.1611669600488
7,870.1228400776032,870.0832075107467,870.042807673238,870.0195256021786,870.0094345755869,869.9665232910281
8,869.9285320203326,869.9002911970072,869.8602106185922,869.8369973672008,869.8269257857335,869.784330355275
9,869.7466688848328,869.7185660322587,869.6788002903638,869.6556556132654,869.645607189966,869.6033386927576
10,869.6033386927576,869.6033386927576,869.6033386927576,869.6033386927576,869.6033386927576,869.6033386927576
