,0,1,2
0,11238.32772320135,11238.32772320135,11238.32772320135
1,11234.692472571018,11146.903254094159,11066.393125085893
2,11061.854047601057,10984.531817516607,10915.791930683466
3,10910.337482570692,10845.311423148642,10780.571689484223
4,10776.85017922366,10729.320142900484,10671.239288317123
5,10668.981154911811,10625.197554331036,10575.166908676349
6,10574.017155906242,10533.856051797884,10484.723084311265
7,10478.168414186977,10446.371136338601,10412.354582129456
8,10409.633700358423,10380.090200797802,10337.45025521799
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
