,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_1,0.0,0.9484112563437306,0.00021175644084880582,0.00039592086690437366,0.00010455241722948331,0.0,0.00011230704526358229,0.05076420688602315
beta_2,0.0,0.00014530421503832755,0.9976585071297905,0.0005656180210460665,5.2594520695816195e-05,0.0,0.0,0.0015779761134293115
beta_3,0.0,0.009473107155865171,1.6650174197663814e-06,0.3267743820490275,0.6637508457776876,0.0,0.0,0.0
beta_4,0.0,0.009676470687277365,0.003748151162901729,0.7840212065915552,0.20255417155826583,0.0,0.0,0.0
beta_5,0.0,0.061634068197991075,0.0005524794330116568,0.0,0.6522844994044887,0.2855286356284405,0.0,3.1733606810913393e-07
beta_6,0.0,0.001105578198671965,0.0,0.0,0.0,0.0,0.9988944218013281,0.0
beta_7,0.0,0.8569198628649396,0.0,0.0,0.0,0.0,0.0,0.14308013713506032
