,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_1,0.0,0.9872260589557071,0.0015973078876105524,1.2628544332723537e-08,0.0,0.0,0.0,0.011176620528138037
beta_2,3.0187777916090224e-06,0.0004995979589008586,0.9979783511813975,6.178127806495286e-07,8.16621667372788e-06,2.582829236279735e-07,9.12588388188554e-07,0.0015090771811438505
beta_3,0.0,0.011000001588347802,0.005339543894028261,0.27690008596579707,0.7067603685518268,0.0,0.0,0.0
beta_4,0.0,0.024822916679988885,0.0,0.5477321963419715,0.4274296679198405,1.5171479898279523e-05,0.0,4.757830080885871e-08
beta_5,4.386830459408959e-08,0.05570903444278333,0.007508272846852265,1.464190658325958e-08,0.6591685944129293,0.2776137889336318,2.4717993252693076e-07,3.673659581057399e-09
beta_7,0.018072407122239585,0.3258823940631061,0.04587103615072468,9.300977070037226e-08,2.054723992490048e-08,4.266247041608624e-08,6.816833072392305e-08,0.6101739382761178
