,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
beta_0,0.2846168433494001,0.0,0.7153831566505999,0.0,0.0,0.0,0.0,0.0
beta_1,0.0012527501955958726,0.9985121502897408,0.00023509951466323494,0.0,0.0,0.0,0.0,0.0
beta_2,9.87101647744549e-05,5.453191235132393e-05,0.9951866307111065,0.0028722974382975885,0.0,0.0,0.00012498142151671387,0.0016628483519533555
beta_3,0.0,0.0,0.0,0.10736035907065204,0.892639640929348,0.0,0.0,0.0
beta_4,0.0,0.00020066351364329024,0.0,0.922616034180155,0.07718330230620168,0.0,0.0,0.0
beta_5,0.0,0.0022230110092551227,0.0,0.0,0.8488904006459911,0.14888658834475385,0.0,0.0
