,n_estimators,beta0
X1,0,0.4963271831009603
X2,478,-0.00020993700905917964
X3,550,0.03333025734763262
X4,234,0.0064850424917297774
X5,347,-0.0015246357361521534
X6,419,0.12284644785274787
X7,158,-0.0010981298973501475
X8,124,-0.0032157505990920367
