,n_estimators,beta0
VehPower,364,0.06335257249914458
VehAge,268,0.3617659074980982
DrivAge,178,0.7459707274856785
BonusMalus,272,5.594442276186968
Density,178,169.78613420355578
Diesel,285,0.037236506429573366
