,VehPower,VehAge,DrivAge,BonusMalus,Density,Diesel
0,459093.38778083655,459093.38778083655,459093.38778083655,459093.38778083655,459093.38778083655,459093.38778083655
1,459066.0756741998,459048.5165175534,459031.2622494756,459016.87156040675,459010.589216179,459000.3507196915
2,458973.97761903657,458957.6997666153,458941.1007130524,458926.8928347621,458920.6545951997,458911.43803904264
3,458885.6468732391,458870.3050180743,458854.3611370904,458840.5959576898,458834.5667107499,458825.8368677548
4,458800.53495674237,458785.3460097895,458770.02782289137,458756.6262382826,458750.64169482596,458742.37334246835
5,458718.0709854753,458701.65375944943,458686.9363831656,458673.6836071344,458667.6592953495,458659.8298307825
6,458636.4857982335,458618.7163076624,458604.5734043216,458591.88261713693,458586.09918532474,458579.13489329146
7,458556.20266271697,458535.5252568347,458521.9214003847,458509.5575507791,458504.0088106046,458498.09906257293
8,458476.114929255,458459.5465510574,458446.4485988292,458434.85193804046,458429.24224909703,458423.5739921698
9,458402.2589881627,458388.6033965306,458375.92667951947,458364.52328487457,458359.15557226306,458354.0479576148
10,458333.9538568581,458320.73258366605,458308.3973217498,458297.08064116875,458291.77932365803,458286.9859833761
11,458267.6950755055,458254.90630565817,458242.9956068788,458232.15904355404,458227.1654550513,458221.65418190433
12,458202.9300092549,458190.49836112215,458179.12115616654,458168.55707714194,458163.6645142351,458159.1740613191
13,458141.4904065343,458129.38042120833,458116.3826508339,458106.4411055718,458101.69482855976,458097.8460666356
14,458080.48830962414,458068.7770541026,458056.1224702544,458047.05706849496,458042.38823232206,458038.76481999265
15,458021.77770259214,458010.38128765795,457996.8447973898,457988.5019736582,457984.04752618074,457980.29082866776
16,457963.84944566415,457952.3328982305,457937.7266316574,457930.1459133789,457925.5282205377,457921.1362445874
17,457905.17715103104,457894.31818547816,457879.90454935963,457872.31411503296,457867.9187335829,457864.2115268028
18,457848.7843203398,457838.2633259948,457821.95838682464,457815.00375480804,457810.73743456247,457807.0455063939
19,457792.04733530036,457781.7967027793,457768.228207273,457761.9173899156,457757.64957368776,457753.80002711044
20,457739.2406399238,457729.2735919893,457714.60571009753,457708.51315772417,457704.4364644609,457700.4342132553
21,457686.10423672886,457676.4108531077,457661.7417276047,457656.1065820782,457652.07636512764,457648.3441192348
22,457634.4860133347,457624.9792155395,457611.9662314105,457605.9841326055,457602.1183016273,457598.88516723295
23,457585.32018232805,457576.15283922246,457560.8664031949,457554.49372906156,457550.6464502707,457547.20250905247
24,457533.80127485894,457524.76893252454,457513.1143034258,457508.41349514405,457504.62314557796,457501.26851373265
25,457488.0180639996,457478.3111366144,457463.87507476495,457459.2746929101,457455.5613129994,457450.84544395085
26,457437.77825410204,457428.1812423329,457415.8286552269,457411.21297325357,457407.5867650107,457403.3853191936
27,457390.6046530217,457381.53935595666,457368.19434174703,457363.70594187203,457360.2185302135,457356.7464951136
28,457344.1802473762,457335.3605426065,457324.7959289837,457320.47691338754,457316.965846172,457312.7593289072
29,457300.59659855324,457291.45164589776,457279.9247227883,457276.20417217776,457272.8965290362,457268.79528237187
30,457256.6594845965,457248.08752192085,457236.36943308776,457233.0307460398,457229.7299781472,457226.0953984823
31,457214.22998026706,457205.5869712637,457193.37914160127,457189.4298373421,457186.2972134395,457182.2417448334
32,457170.4201437598,457161.85323904734,457150.3722534473,457147.4401230867,457144.2229622294,457140.0422389165
33,457128.64897421526,457120.72885585966,457109.5680278182,457105.7377637708,457102.7049905373,457098.5216684379
34,457087.290619674,457078.43336535734,457068.0432649693,457065.0584550307,457062.0396401854,457058.2315853848
35,457047.25362740696,457038.6841372582,457027.87150791555,457024.7565702561,457021.96418936475,457018.2679589978
36,457007.3985994756,456999.28742128494,456990.0113450862,456986.9979284393,456984.15397010476,456980.1425856905
37,456969.8989999223,456961.9388546612,456951.840424919,456949.49074342696,456946.79976817337,456943.13777567825
38,456933.059133205,456924.69557052193,456915.7400434516,456912.19222210516,456909.5138994356,456905.55857884523
39,456895.76384427527,456886.93967785314,456878.13220712973,456875.63676907425,456872.9142639311,456869.1324404921
40,456859.63559198886,456852.3263710085,456842.8820538338,456840.37804922485,456837.72312987916,456834.29019391496
41,456824.91675263626,456817.17850070505,456807.56612276623,456805.14771114965,456802.5128434482,456797.7298643925
42,456788.5609167279,456780.96507875057,456772.18186670763,456769.9243422427,456767.3310117643,456763.5525623254
43,456754.28293238947,456746.83686591464,456739.65463488485,456736.4479938757,456733.8544720441,456730.4378453754
44,456721.76474941196,456714.1335025119,456704.7300458953,456702.5837678789,456700.0982104427,456695.95647725876
45,456687.26383234,456680.30702369136,456672.98513271456,456670.5359508401,456667.8428064809,456663.7441573117
46,456655.4290241211,456648.2380403861,456640.5482522825,456637.9363221828,456635.5306577595,456631.59439876303
47,456623.1352860535,456615.8817073968,456609.10647250985,456606.79601500893,456604.4161793526,456600.4657994077
48,456592.07288734824,456584.9665144078,456576.9448307226,456574.6876111589,456572.25337406935,456568.6161701107
49,456560.31567445566,456553.57925398165,456545.67756660015,456543.3129100244,456541.07874539896,456536.93016249646
50,456528.7120747437,456521.8408321613,456514.9028105868,456512.7846566318,456510.4145655386,456506.4444559979
51,456498.6319212465,456492.3706908159,456484.2439748608,456481.8218558741,456479.6594437285,456476.4473414727
52,456468.8935066496,456461.7403059205,456454.9910012726,456452.4579185513,456450.27334304224,456446.5253168493
53,456438.9893177022,456432.5140940175,456425.3394621222,456423.0306486605,456420.9654847098,456416.602686596
54,456409.30233645777,456402.748113116,456395.7301491733,456393.48159887735,456391.413761428,456386.78743001295
55,456379.63340629556,456373.6508587218,456366.91243886924,456364.6939641227,456362.64086211624,456357.56981579325
